Metacritic_score,Normalized_playtime,Positive_review_threshold
0.62,0.305,0
0.64,0.12,0
0.53,0.515,0
0.84,0.277,1
0.89,0.284,1
0.7,0.506,0
0.86,0.63,1
0.4,0.403,0
0.87,0.456,1
0.92,0.52,1
0.76,0.413,1
0.51,0.231,0
0.81,0.916,1
0.69,0.417,0
0.72,0.508,1
0.68,0.467,0
0.52,0.573,0
0.82,0.359,1
0.77,0.478,1
0.59,0.159,0
0.79,0.52,1
0.68,0.425,0
0.71,0.497,1
0.74,0.537,0
0.69,0.319,1
0.73,0.608,1
0.68,0.361,1
0.87,0.495,1
0.84,0.499,1
0.87,0.36,1
0.71,0.277,0
0.82,0.429,1
0.88,0.616,1
0.47,0.276,0
0.81,0.539,1
0.75,0.439,0
0.76,0.567,1
0.76,0.609,1
0.63,0.513,0
0.67,0.407,1
0.68,0.352,0
0.81,0.252,1
0.77,0.472,1
0.71,0.25,0
0.84,0.626,1
0.77,0.431,1
0.75,0.631,1
0.64,0.408,1
0.67,0.452,1
0.8,0.415,1
0.81,0.596,1
0.86,0.312,0
0.68,0.412,0
0.58,0.435,0
0.76,0.247,1
0.9,0.268,1
0.73,0.379,0
0.67,0.587,1
0.71,0.701,1
0.73,0.427,1
0.73,0.341,0
0.71,0.512,0
0.74,0.46,0
0.79,0.59,1
0.81,0.236,1
0.87,0.49,1
0.8,0.475,1
0.7,0.146,0
0.7,0.5,0
0.74,0.362,1
0.73,0.525,1
0.78,0.446,1
0.88,0.667,1
0.67,0.358,1
0.87,0.36,1
0.8,0.632,1
0.75,0.37,1
0.82,0.396,1
0.88,0.621,1
0.55,0.398,0
0.8,0.155,1
0.66,0.324,0
0.63,0.266,0
0.85,0.499,1
0.82,0.598,1
0.78,0.196,1
0.78,0.62,1
0.72,0.503,1
0.76,0.531,1
0.86,0.357,1
0.79,0.27,1
0.62,0.728,0
0.69,0.343,1
0.76,0.53,1
0.76,0.543,1
0.62,0.641,1
0.91,0.15,1
0.68,0.24,1
0.51,0.464,0
0.82,0.468,1
0.83,0.281,1
0.7,0.426,0
0.49,0.691,0
0.83,0.415,1
0.82,0.502,1
0.57,0.398,0
0.88,0.412,1
0.8,0.424,1
0.81,0.634,1
0.64,0.141,1
0.82,0.328,1
0.84,0.586,1
0.51,0.428,0
0.72,0.389,1
0.63,0.53,1
0.73,0.559,1
0.8,0.26,1
0.87,0.465,1
0.68,0.498,0
0.9,0.568,1
0.8,0.367,1
0.8,0.637,1
0.7,0.702,0
0.44,0.383,1
0.58,0.437,0
0.82,0.272,1
0.7,0.795,1
0.82,0.405,1
0.71,0.612,1
0.69,0.491,0
0.82,0.749,1
0.73,0.691,1
0.9,0.458,1
0.52,0.341,0
0.85,0.433,1
0.8,0.738,1
0.69,0.322,1
0.64,0.141,1
0.86,0.378,1
0.81,0.458,1
0.8,0.356,1
0.85,0.531,1
0.84,0.542,1
0.72,0.492,1
0.81,0.212,1
0.71,0.42,1
0.65,0.461,0
0.81,0.538,1
0.85,0.442,1
0.78,0.451,1
0.85,0.544,1
0.66,0.209,1
0.6,0.503,0
0.52,0.264,0
0.84,0.725,1
0.77,0.412,1
0.89,0.73,1
0.4,0.365,0
0.68,0.4,1
0.66,0.578,0
0.68,0.274,1
0.68,0.473,1
0.82,0.477,1
0.83,0.52,1
0.63,0.854,0
0.72,0.6,1
0.77,0.186,1
0.83,0.401,1
0.79,0.223,1
0.77,0.425,1
0.85,0.013,1
0.66,0.332,1
0.79,0.409,1
0.58,0.428,0
0.73,0.578,0
0.76,0.703,1
0.8,0.486,1
0.73,0.388,1
0.73,0.471,1
0.61,0.473,0
0.79,0.136,1
0.88,0.471,1
0.83,0.628,1
0.75,0.691,1
0.86,0.477,1
0.81,0.439,1
0.73,0.183,1
0.87,0.312,1
0.72,0.359,1
0.81,0.357,1
0.88,0.516,1
0.66,0.408,0
0.74,0.617,1
0.66,0.411,1
0.79,0.342,1
0.72,0.431,1
0.71,0.515,1
0.67,0.245,0
0.79,0.49,1
0.76,0.59,1
0.73,0.518,1
0.81,0.591,1
0.85,0.22,1
0.8,0.516,1
0.78,0.311,1
0.67,0.461,1
0.82,0.383,1
0.81,0.478,0
0.62,0.22,0
0.79,0.789,1
0.85,0.446,1
0.74,0.448,1
0.64,0.778,0
0.59,0.464,1
0.88,0.454,1
0.81,0.391,1
0.79,0.357,1
0.74,0.563,1
0.66,0.258,0
0.71,0.25,0
0.81,0.495,1
0.69,0.316,0
0.83,0.548,1
0.78,0.66,1
0.71,0.228,1
0.78,0.36,0
0.73,0.671,1
0.61,0.537,1
0.7,0.416,1
0.62,0.542,1
0.7,0.592,1
0.71,0.486,1
0.66,0.339,0
0.68,0.448,1
0.78,0.297,1
0.65,0.506,1
0.69,0.726,1
0.84,0.54,1
0.88,0.63,1
0.8,0.601,1
0.77,0.503,1
0.76,0.576,1
0.87,0.464,1
0.6,0.406,1
0.78,0.443,0
0.64,0.383,1
0.48,0.421,0
0.82,0.485,1
0.66,0.108,0
0.57,0.497,0
0.67,0.524,0
0.73,0.512,0
0.71,0.466,1
0.75,0.489,1
0.75,0.56,0
0.84,0.179,1
0.71,0.465,0
0.82,0.454,1
0.85,0.566,1
0.84,0.42,1
0.74,0.764,0
0.89,0.356,1
0.72,0.52,0
0.87,0.576,1
0.23,0.948,0
0.88,0.587,1
0.69,0.5,1
0.83,0.587,1
0.66,0.605,1
0.69,0.435,1
0.61,0.452,0
0.83,0.492,1
0.78,0.54,1
0.76,0.41,1
0.8,0.357,1
0.79,0.411,1
0.74,0.243,0
0.63,0.349,1
0.63,0.478,1
0.73,0.435,1
0.73,0.436,1
0.73,0.476,1
0.44,0.281,0
0.7,0.422,1
0.75,0.073,0
0.7,0.638,1
0.64,0.12,0
0.67,0.233,0
0.56,0.416,1
0.73,0.368,0
0.73,0.316,0
0.7,0.203,1
0.66,0.55,0
0.68,0.537,1
0.85,0.453,1
0.83,0.483,1
0.74,0.215,0
0.78,0.391,1
0.83,0.353,1
0.83,0.558,1
0.77,0.451,1
0.81,0.454,1
0.79,0.312,1
0.66,0.577,1
0.79,0.258,1
0.84,0.481,1
0.9,0.452,1
0.51,0.252,1
0.77,0.426,1
0.69,0.403,1
0.87,0.427,1
0.63,0.487,0
0.73,0.519,0
0.77,0.294,1
0.7,0.398,1
0.87,0.573,1
0.84,0.449,1
0.89,0.262,1
0.86,0.351,1
0.8,0.146,0
0.55,0.487,0
0.7,0.629,1
0.81,0.541,1
0.73,0.521,1
0.77,0.488,1
0.67,0.238,0
0.8,0.692,1
0.74,0.513,1
0.84,0.603,1
0.79,0.608,1
0.75,0.548,1
0.77,0.451,1
