Metacritic_score,Median_playtime,Price,Positive_review_threshold
0.67,0.759,0.0,0
0.59,0.422,0.108,0
0.75,0.481,0.424,0
0.62,0.39,0.064,0
0.73,0.389,0.28,0
0.57,0.437,0.136,0
0.74,0.426,0.007,0
0.82,0.485,0.136,1
0.7,0.417,0.28,1
0.86,0.368,0.064,1
0.72,0.248,0.352,0
0.8,0.446,0.136,1
0.7,0.642,0.352,0
0.76,0.168,0.064,0
0.84,0.549,0.208,1
0.7,0.427,0.05,0
0.75,0.678,0.352,1
0.68,0.437,0.28,0
0.8,0.536,0.136,1
0.63,0.397,0.208,0
0.75,0.429,0.136,1
0.73,0.325,0.136,1
0.47,0.423,0.208,0
0.72,0.542,0.28,0
0.8,0.479,0.108,1
0.79,0.506,0.208,0
0.74,0.193,0.05,0
0.8,0.578,0.28,1
0.89,0.594,0.424,1
0.86,0.379,0.079,1
0.43,0.368,0.008,0
0.85,0.464,0.208,1
0.93,0.686,0.712,1
0.83,0.647,0.352,1
0.78,0.44,0.28,0
0.93,0.73,0.568,1
0.68,0.489,0.136,0
0.4,0.407,0.064,0
0.76,0.577,0.136,1
0.76,0.334,0.208,0
0.68,0.527,0.136,1
0.72,0.285,0.064,0
0.81,0.4,0.136,0
0.53,0.516,0.28,0
0.77,0.504,0.208,1
0.53,0.673,0.424,0
0.75,0.395,0.28,1
0.8,0.61,0.1,1
0.8,0.246,0.108,1
0.91,0.534,0.028,0
0.38,0.473,0.424,0
0.75,0.544,0.28,1
0.76,0.506,0.28,0
0.51,0.553,0.28,0
0.66,0.455,0.208,0
0.76,0.704,0.856,1
0.76,0.12,0.28,0
0.8,0.368,0.136,1
0.8,0.126,0.136,0
0.79,0.33,0.136,1
0.55,0.58,0.496,0
0.66,0.646,0.28,0
0.75,0.526,0.28,0
0.44,0.282,0.064,0
0.62,0.306,0.338,0
0.77,0.614,0.568,1
0.81,0.445,0.151,1
0.82,0.3,0.237,1
0.71,0.25,0.079,0
0.75,0.218,0.208,0
0.81,0.397,0.136,0
0.83,0.559,0.208,1
0.8,0.456,0.093,0
0.83,0.282,0.208,0
0.79,0.519,0.28,1
0.74,0.464,0.424,1
0.7,0.429,0.064,0
0.77,0.437,0.136,1
0.82,0.549,1.0,0
0.79,0.539,0.208,1
0.75,0.343,0.208,0
0.8,0.383,0.136,0
0.75,0.429,0.424,0
0.85,0.344,0.208,1
0.64,0.548,0.136,0
0.83,0.405,0.208,0
0.66,0.447,0.136,0
0.86,0.546,0.18,1
0.8,0.461,0.28,1
0.8,0.261,0.064,1
0.74,0.345,0.064,0
0.6,0.407,0.208,0
0.62,0.221,0.424,0
0.68,0.432,0.108,0
0.44,0.43,0.021,0
0.66,0.467,0.108,0
0.76,0.675,0.424,1
0.62,0.439,0.208,0
0.47,0.358,0.28,0
0.81,0.747,0.28,1
0.7,0.786,0.568,0
0.62,0.459,0.079,0
0.71,0.504,0.136,1
0.9,0.556,0.079,0
0.74,0.297,0.28,0
0.65,0.374,0.28,0
0.85,0.314,0.064,1
0.71,0.271,0.093,0
0.81,0.524,0.352,1
0.84,0.489,0.136,1
0.72,0.407,0.136,1
0.77,0.464,0.208,1
0.91,0.597,0.424,1
0.74,0.52,0.712,0
0.76,0.532,0.208,1
0.76,0.519,0.28,1
0.65,0.507,0.028,0
0.84,0.421,0.28,1
0.86,0.739,0.424,1
0.85,0.602,0.568,1
0.78,0.402,0.136,1
0.79,0.362,0.28,0
0.82,0.559,0.136,0
0.68,0.566,0.136,0
0.77,0.39,0.208,1
0.76,0.531,0.28,1
0.81,0.43,0.28,0
0.81,0.676,0.208,1
0.78,0.469,0.208,0
0.74,0.376,0.021,1
0.88,0.524,0.136,1
0.56,0.389,0.05,0
0.75,0.598,0.208,1
0.66,0.206,0.424,1
0.65,0.538,0.136,0
0.79,0.363,0.136,1
0.67,0.472,0.122,0
0.69,0.616,0.208,0
0.71,0.229,0.136,1
0.81,0.643,0.208,1
0.65,0.381,0.28,0
0.75,0.126,0.136,0
0.83,0.856,0.712,0
0.76,0.513,0.28,1
0.75,0.43,0.208,1
0.65,0.481,0.208,0
0.68,0.353,0.18,0
0.68,0.568,0.28,0
0.81,0.336,0.237,1
0.78,0.322,0.136,0
0.86,0.632,0.352,1
0.79,0.592,0.079,1
0.81,0.223,0.208,1
0.79,0.343,0.136,0
0.79,0.527,0.712,0
0.86,0.748,0.856,1
0.54,0.673,0.424,0
0.51,0.252,0.108,1
0.69,0.436,0.28,0
0.9,0.19,0.093,1
0.72,0.601,0.352,0
0.84,0.43,0.18,1
0.82,0.848,0.856,0
0.75,0.443,0.424,0
0.66,0.519,0.136,0
0.71,0.506,0.252,1
0.68,0.401,0.046,0
0.78,0.278,0.136,1
0.68,0.432,0.01,1
0.75,0.392,0.064,0
0.8,0.346,0.021,1
0.63,0.368,0.136,0
0.92,0.504,0.136,1
0.68,0.449,0.0,0
0.62,0.396,0.064,0
0.68,0.54,0.136,1
0.83,0.476,0.352,1
0.7,0.507,0.208,0
0.84,0.731,0.856,1
0.8,0.453,0.208,1
0.76,0.427,0.014,1
0.73,0.458,0.208,0
0.68,0.557,0.223,0
0.68,0.274,0.424,0
0.39,0.661,0.064,0
0.84,0.452,0.424,1
0.67,0.12,0.208,0
0.4,0.503,0.007,0
0.84,0.392,0.208,1
0.81,0.51,0.856,0
0.83,0.487,0.28,0
0.85,0.508,0.28,1
0.8,0.464,0.151,1
0.76,0.42,0.28,1
0.83,0.462,0.208,1
0.91,0.419,0.28,1
0.77,0.626,0.856,0
0.61,0.436,0.028,1
0.74,0.65,0.424,0
0.85,0.678,0.352,1
0.78,0.344,0.136,1
0.85,0.303,0.352,0
0.63,0.267,0.28,0
0.7,0.469,0.136,1
0.76,0.434,0.208,1
0.66,0.344,0.28,0
0.85,0.483,0.136,0
0.69,0.363,0.044,1
0.79,0.61,0.208,1
0.72,0.517,0.496,1
0.79,0.595,0.28,1
0.97,0.534,0.856,1
0.86,0.445,0.352,1
0.87,0.559,0.856,0
0.65,0.51,0.093,0
0.68,0.353,0.064,0
0.72,0.51,0.352,0
0.69,0.737,0.424,1
0.74,0.483,0.01,0
0.84,0.45,0.122,1
0.82,0.854,0.252,1
0.7,0.737,0.208,0
0.8,0.634,0.712,0
0.8,0.379,0.007,1
0.77,0.489,0.424,0
0.76,0.516,0.424,0
0.73,0.491,0.136,0
0.84,0.37,0.424,0
0.87,0.551,0.856,1
0.72,0.499,0.208,1
0.68,0.413,0.424,0
0.74,0.485,0.28,0
0.77,0.531,0.28,0
0.77,0.479,0.28,0
0.53,0.517,0.079,1
0.78,0.336,0.064,1
0.7,0.215,0.136,0
0.76,0.477,0.424,1
0.86,0.481,0.28,1
0.76,0.416,0.136,1
0.73,0.696,0.352,0
0.83,0.344,0.136,0
0.68,0.493,0.136,0
0.81,0.484,0.424,1
0.65,0.176,0.136,1
0.63,0.488,0.28,0
0.66,0.505,0.054,0
0.64,0.12,0.036,0
0.65,0.346,0.136,1
0.77,0.529,0.208,1
0.78,0.433,0.208,1
0.9,0.42,0.136,1
0.83,0.505,0.424,1
0.68,0.441,0.424,0
0.82,0.417,0.122,1
0.79,0.187,0.136,1
0.72,0.309,0.28,0
