Metacritic_score,Median_playtime,Price,Positive_review_threshold
0.85,0.508,0.214,1
0.72,0.507,0.286,1
0.52,0.573,0.214,0
0.58,0.34,0.214,0
0.75,0.473,0.214,0
0.68,0.279,0.286,1
0.59,0.073,0.428,1
0.61,0.486,0.0,0
0.73,0.421,0.286,0
0.83,0.599,0.086,1
0.72,0.521,0.214,1
0.59,0.421,0.114,0
0.69,0.405,0.186,1
0.64,0.12,0.071,0
0.72,0.371,0.214,0
0.5,0.346,0.214,0
0.83,0.398,0.286,1
0.78,0.719,0.571,1
0.77,0.457,0.428,1
0.76,0.233,0.071,0
0.74,0.564,0.286,0
0.58,0.545,0.143,0
0.71,0.423,0.571,0
0.6,0.676,0.0,0
0.91,0.483,0.143,1
0.66,0.339,0.071,0
0.79,0.013,0.243,1
0.8,0.455,0.286,0
0.74,0.359,0.143,1
0.75,0.37,0.286,1
0.72,0.443,0.1,1
0.83,0.557,0.114,1
0.74,0.509,0.428,0
0.68,0.422,0.286,0
0.67,0.12,0.214,0
0.68,0.431,0.114,0
0.38,0.531,0.214,0
0.68,0.759,0.214,0
0.86,0.68,0.357,1
0.7,0.467,0.286,0
0.78,0.379,0.286,0
0.61,0.15,0.143,0
0.51,0.635,0.143,0
0.73,0.488,0.0,1
0.85,0.544,0.571,1
0.84,0.488,0.143,1
0.76,0.341,0.214,1
0.75,0.279,0.014,0
0.77,0.452,0.143,1
0.55,0.332,0.114,1
0.79,0.458,0.357,0
0.71,0.541,0.571,0
0.7,0.403,0.075,0
0.85,0.499,0.0,1
0.89,0.606,0.571,1
0.76,0.141,0.071,0
0.74,0.203,0.057,0
0.86,0.477,0.286,1
0.68,0.598,0.114,1
0.73,0.678,0.286,1
0.83,0.47,0.286,1
0.62,0.521,0.026,0
0.8,0.266,0.143,0
0.63,0.036,0.214,0
0.84,0.399,0.286,1
0.53,0.563,0.243,0
0.75,0.481,0.011,0
0.82,0.228,0.186,0
0.79,0.379,0.0,1
0.75,0.35,0.286,1
0.74,0.398,0.286,1
0.63,0.472,0.0,0
0.89,0.502,0.286,1
0.74,0.502,0.128,1
0.69,0.403,0.143,1
0.89,0.468,0.186,1
0.63,0.349,0.143,0
0.81,0.223,0.214,1
0.75,0.289,0.143,1
0.74,0.45,0.143,1
0.84,0.75,0.857,1
0.77,0.464,0.143,1
0.81,0.559,0.286,0
0.82,0.547,1.0,0
0.69,0.519,0.114,1
0.86,0.488,0.714,1
0.62,0.294,0.114,1
0.88,0.368,0.214,1
0.68,0.4,0.053,0
0.92,0.503,0.143,1
0.79,0.587,0.214,1
0.66,0.36,0.107,0
0.8,0.262,0.0,0
0.93,0.729,0.571,1
0.77,0.551,0.194,1
0.73,0.324,0.143,1
0.81,0.495,0.571,1
0.76,0.535,0.286,1
0.87,0.631,0.428,1
0.66,0.518,0.071,0
0.94,0.538,0.428,1
0.67,0.183,0.0,0
0.77,0.59,0.214,1
0.74,0.394,0.057,0
0.61,0.588,0.571,0
0.78,0.297,0.214,0
0.74,0.492,0.071,0
0.58,0.155,0.286,0
0.63,0.424,0.014,0
0.51,0.405,0.143,0
0.55,0.579,0.5,0
0.84,0.57,0.286,1
0.72,0.422,0.214,1
0.81,0.539,0.286,1
0.68,0.448,0.2,1
0.84,0.294,0.143,1
0.77,0.487,0.428,0
0.91,0.476,0.286,1
0.67,0.471,0.128,0
0.78,0.453,0.028,1
0.77,0.384,0.357,1
0.8,0.22,0.214,0
0.72,0.206,0.286,0
0.82,0.252,0.143,0
0.8,0.37,0.428,1
0.83,0.288,0.0,0
0.74,0.342,0.428,0
0.81,0.343,0.071,0
0.79,0.44,0.228,1
0.74,0.429,0.0,1
0.8,0.215,0.143,0
0.84,0.046,0.286,0
0.79,0.44,0.214,1
0.58,0.355,0.1,0
0.83,0.858,0.857,1
0.84,0.42,0.357,1
0.79,0.186,0.143,1
0.83,0.482,0.5,1
0.81,0.543,0.357,1
0.8,0.495,0.193,0
0.85,0.543,0.286,1
0.77,0.463,0.214,1
0.64,0.12,0.143,0
0.87,0.576,0.214,1
0.64,0.303,0.0,0
0.82,0.572,0.286,1
0.78,0.175,0.214,1
0.9,0.737,0.428,1
0.91,0.432,0.286,0
0.83,0.816,0.571,1
0.85,0.302,0.357,0
0.84,0.427,0.286,1
0.68,0.474,0.286,0
0.66,0.537,0.286,0
0.66,0.421,0.071,0
0.49,0.691,0.071,0
0.67,0.375,0.114,0
0.64,0.416,0.214,0
0.72,0.332,0.075,0
0.59,0.401,0.286,1
0.69,0.624,0.071,0
0.61,0.193,0.214,0
0.78,0.42,0.214,1
0.66,0.485,0.143,1
0.73,0.442,0.286,1
0.9,0.65,0.357,1
0.9,0.419,0.143,1
0.84,0.312,0.071,0
0.66,0.343,0.286,0
0.82,0.553,0.428,0
0.82,0.542,0.214,1
0.79,0.608,0.214,1
0.7,0.346,0.214,0
0.89,0.524,0.171,1
0.82,0.491,0.186,1
0.59,0.413,0.143,1
0.68,0.465,0.143,0
0.76,0.517,0.286,1
0.85,0.544,0.143,0
0.66,0.332,0.143,1
0.82,0.775,0.428,0
0.66,0.511,0.014,0
0.7,0.691,0.143,1
0.74,0.481,0.017,0
0.77,0.666,0.357,1
0.81,0.013,0.214,1
0.86,0.757,0.0,1
0.77,0.603,0.428,0
0.7,0.5,0.086,0
0.79,0.552,0.428,1
0.78,0.503,0.071,0
0.68,0.395,0.114,0
0.71,0.305,0.071,1
0.77,0.438,0.143,1
0.43,0.352,0.214,0
0.52,0.225,0.286,0
0.76,0.036,0.286,0
0.76,0.695,0.571,1
0.64,0.328,0.286,0
0.8,0.554,0.214,1
0.81,0.522,0.5,1
0.86,0.666,0.286,1
0.61,0.363,0.286,1
0.81,0.505,0.0,0
0.91,0.809,0.571,1
0.64,0.217,0.286,0
0.73,0.53,0.007,0
0.77,0.496,0.286,0
0.55,0.424,0.214,0
0.83,0.281,0.214,0
0.56,0.416,0.0,0
0.78,0.428,0.214,1
0.77,0.436,0.071,0
0.68,0.459,0.214,1
0.78,0.073,0.071,0
0.8,0.429,0.014,0
0.9,0.422,0.286,1
0.67,0.374,0.0,0
0.59,0.464,0.186,0
0.79,0.409,0.1,1
0.88,0.288,0.043,1
0.71,0.377,0.171,1
0.66,0.42,0.214,0
0.73,0.691,0.857,1
0.69,0.361,0.214,1
0.72,0.451,0.357,0
0.68,0.434,0.214,1
0.84,0.535,0.857,1
0.76,0.425,0.571,1
0.86,0.588,0.428,1
0.83,0.429,0.143,1
0.83,0.63,0.428,1
0.55,0.529,0.214,0
0.71,0.352,0.214,1
0.71,0.837,0.857,1
0.66,0.315,0.0,0
0.68,0.425,0.286,0
0.72,0.484,0.286,1
0.77,0.722,0.107,0
0.86,0.39,0.064,1
0.75,0.533,0.143,1
0.76,0.576,0.143,1
0.79,0.247,0.286,0
0.71,0.429,0.286,0
0.75,0.567,0.857,0
0.53,0.671,0.428,0
0.82,0.345,0.143,1
0.73,0.559,0.857,0
0.68,0.506,0.043,1
0.69,0.491,0.143,0
0.8,0.345,0.028,1
0.65,0.736,0.086,0
0.37,0.306,0.071,0
0.57,0.264,0.1,0
0.82,0.502,0.286,1
0.69,0.53,0.214,0
0.65,0.491,0.286,0
0.72,0.485,0.143,0
0.63,0.537,0.214,0
0.69,0.46,0.571,0
0.83,0.483,0.143,1
0.75,0.54,0.286,0
0.83,0.63,0.286,1
0.82,0.443,0.357,1
0.59,0.487,0.357,0
0.8,0.155,0.143,1
0.74,0.353,0.014,1
0.52,0.406,0.043,0
0.82,0.621,0.5,1
0.64,0.383,0.143,0
0.56,0.08,0.143,0
0.73,0.368,0.1,0
0.71,0.228,0.143,1
0.84,0.359,0.0,0
0.71,0.482,0.171,0
0.75,0.435,0.071,0
0.82,0.281,0.1,0
0.64,0.547,0.143,0
0.81,0.443,0.0,1
0.8,0.356,0.286,0
0.75,0.272,0.1,0
0.54,0.672,0.428,0
0.74,0.013,0.043,0
0.82,0.377,0.0,0
0.78,0.405,0.171,0
0.68,0.599,0.428,1
0.77,0.525,0.228,0
0.68,0.676,0.143,0
0.88,0.616,0.0,1
0.67,0.125,0.286,0
0.74,0.443,0.857,1
0.68,0.562,0.0,0
0.64,0.57,0.571,0
0.79,0.652,0.143,1
0.75,0.636,0.143,0
0.57,0.329,0.071,0
0.97,0.533,0.857,1
0.7,0.487,0.286,0
0.65,0.341,0.036,0
0.79,0.545,0.143,1
0.8,0.318,0.071,1
0.77,0.57,0.186,1
0.38,0.095,0.143,0
0.78,0.4,0.186,1
0.45,0.38,0.143,0
0.92,0.312,0.143,1
0.69,0.476,0.028,0
0.81,0.738,0.579,0
0.81,0.596,0.214,1
0.58,0.036,0.057,0
0.54,0.33,0.0,0
0.7,0.392,0.143,0
0.87,0.516,0.157,1
0.72,0.442,0.214,0
0.43,0.676,0.214,0
0.66,0.545,0.143,1
0.7,0.416,0.286,1
0.58,0.426,0.0,0
0.59,0.159,0.286,0
0.7,0.141,0.014,0
0.67,0.524,0.357,0
0.87,0.489,0.857,1
0.71,0.466,0.286,0
0.62,0.209,0.086,0
0.57,0.359,0.143,1
0.85,0.15,0.086,1
0.69,0.283,0.071,0
0.64,0.824,0.286,0
0.83,0.588,0.143,1
0.89,0.569,0.428,1
0.61,0.444,0.143,0
0.75,0.543,0.286,0
0.83,0.587,0.428,1
0.85,0.22,0.143,1
0.88,0.474,0.214,1
0.79,0.659,0.1,1
0.78,0.451,0.214,0
0.68,0.329,0.157,0
0.71,0.502,0.143,1
0.67,0.469,0.071,1
0.72,0.494,0.5,0
0.32,0.433,0.071,0
0.81,0.529,0.428,1
0.8,0.383,0.0,0
0.55,0.587,0.1,0
0.85,0.141,0.05,0
0.81,0.399,0.018,1
0.77,0.508,0.143,1
0.73,0.12,0.0,0
0.68,0.125,0.143,0
0.46,0.499,0.286,0
0.85,0.367,0.571,1
0.78,0.479,0.1,0
0.73,0.427,0.143,1
0.57,0.311,0.171,0
0.93,0.725,0.643,1
0.76,0.391,0.114,1
0.81,0.141,0.214,1
0.83,0.236,0.428,0
0.54,0.467,0.057,0
0.88,0.484,0.0,1
0.87,0.405,0.571,1
0.8,0.535,0.071,1
0.79,0.203,0.0,0
0.64,0.416,0.043,0
0.61,0.435,0.036,1
0.61,0.452,0.143,0
0.69,0.073,0.143,1
0.72,0.477,0.143,0
0.79,0.073,0.286,1
0.81,0.212,0.071,1
0.65,0.316,0.014,0
0.71,0.436,0.071,0
0.75,0.391,0.071,0
0.77,0.354,0.214,0
0.6,0.406,0.214,0
0.58,0.428,0.1,0
0.53,0.385,0.071,0
0.74,0.659,0.428,1
0.87,0.313,0.0,0
0.73,0.662,0.857,0
0.69,0.055,0.014,0
0.82,0.354,0.086,1
0.54,0.433,0.0,0
0.44,0.418,0.057,0
0.8,0.486,0.357,1
0.74,0.556,0.286,0
0.78,0.428,0.214,0
0.8,0.667,0.643,1
0.69,0.703,0.214,1
0.8,0.612,0.428,1
0.78,0.432,0.214,1
0.66,0.411,0.143,0
0.76,0.449,0.214,1
0.6,0.503,0.0,0
0.84,0.537,0.428,1
0.81,0.358,0.143,1
0.7,0.62,0.286,0
0.78,0.687,0.357,1
0.83,0.283,0.039,1
0.7,0.473,0.043,0
0.71,0.114,0.086,0
0.85,0.513,0.357,1
0.77,0.412,0.064,1
0.73,0.245,0.186,0
0.85,0.671,0.571,0
0.81,0.534,0.428,1
0.81,0.591,0.214,1
0.62,0.423,0.214,0
0.63,0.374,0.286,0
0.66,0.27,0.1,0
0.74,0.495,0.143,1
0.73,0.512,0.021,0
0.82,0.453,0.0,1
0.63,0.073,0.1,0
0.72,0.359,0.214,0
0.87,0.379,0.357,1
0.93,0.506,0.286,1
0.67,0.407,0.143,1
0.8,0.556,0.571,1
0.81,0.565,0.214,1
0.76,0.254,0.214,1
0.8,0.692,0.643,0
0.77,0.431,0.857,1
0.84,0.451,0.428,1
0.79,0.578,0.143,1
0.8,0.228,0.071,1
0.78,0.772,0.214,1
0.62,0.26,0.043,0
0.69,0.046,0.071,0
0.84,0.609,0.286,1
0.87,0.503,0.186,1
0.62,0.476,0.286,1
0.62,0.597,0.214,0
0.65,0.443,0.143,0
0.73,0.293,0.014,1
0.65,0.363,0.086,0
0.86,0.297,0.1,1
0.69,0.398,0.143,1
0.68,0.403,0.214,1
0.84,0.609,0.143,1
0.65,0.622,0.286,0
0.68,0.095,0.214,0
0.68,0.426,0.286,0
0.57,0.44,0.063,0
0.77,0.717,0.0,1
0.81,0.356,0.143,1
0.71,0.377,0.143,0
0.77,0.797,0.143,1
0.69,0.336,0.143,0
0.84,0.422,0.071,1
0.83,0.539,0.114,1
0.89,0.08,0.357,1
0.77,0.563,0.214,1
0.76,0.163,0.143,1
0.7,0.5,0.286,1
0.92,0.293,0.143,1
0.77,0.555,0.571,0
0.65,0.537,0.143,0
0.82,0.25,0.043,0
0.65,0.6,0.214,0
0.74,0.501,0.0,0
0.71,0.505,0.257,1
0.72,0.362,0.0,0
0.82,0.589,0.571,0
0.75,0.549,0.286,0
0.7,0.625,0.143,1
0.73,0.49,0.143,0
0.72,0.289,0.0,0
0.62,0.546,0.143,0
0.73,0.379,0.357,0
0.84,0.586,0.571,0
0.82,0.272,0.143,1
0.82,0.495,0.286,1
0.67,0.368,0.143,0
0.81,0.231,0.128,1
0.77,0.431,0.428,0
0.8,0.731,0.571,1
0.8,0.641,0.428,1
0.79,0.167,0.143,1
0.91,0.595,0.428,1
0.7,0.34,0.186,1
0.82,0.563,0.428,0
0.67,0.432,0.0,0
0.74,0.272,0.286,0
0.66,0.565,0.214,0
0.86,0.386,0.064,1
0.68,0.481,0.214,1
0.76,0.474,0.0,0
0.79,0.426,0.286,1
0.79,0.136,0.186,1
0.72,0.573,0.286,0
0.85,0.423,0.143,1
0.66,0.577,0.0,0
0.75,0.574,0.428,1
0.76,0.461,0.0,0
0.75,0.483,0.286,0
0.77,0.4,0.286,1
0.86,0.544,0.186,1
0.91,0.498,0.286,1
0.78,0.512,0.214,1
0.81,0.252,0.0,0
0.8,0.535,0.286,1
0.77,0.565,0.043,0
0.6,0.425,0.012,0
0.77,0.458,0.0,0
0.64,0.466,0.057,0
0.78,0.367,0.357,0
0.7,0.203,0.357,0
0.74,0.65,0.286,0
0.71,0.359,0.043,1
0.65,0.281,0.0,0
0.72,0.444,0.428,1
0.53,0.653,0.428,0
0.83,0.308,0.286,1
0.76,0.413,0.186,1
0.78,0.511,0.286,1
0.65,0.388,0.071,0
0.62,0.728,0.028,0
0.74,0.373,0.214,1
0.78,0.604,0.357,1
0.74,0.22,0.0,0
0.75,0.415,0.571,0
0.77,0.503,0.214,1
0.67,0.247,0.357,0
0.65,0.131,0.143,1
0.89,0.562,0.286,1
0.58,0.428,0.143,0
0.53,0.283,0.0,0
0.89,0.238,0.143,1
0.8,0.372,0.0,0
0.72,0.497,0.428,1
0.73,0.422,0.286,0
0.73,0.514,0.286,0
0.65,0.294,0.286,0
0.75,0.724,0.071,0
0.71,0.426,0.0,1
0.53,0.236,0.286,0
0.74,0.632,0.571,1
0.82,0.203,0.214,0
0.55,0.398,0.143,0
0.69,0.615,0.214,0
0.84,0.564,0.357,1
0.77,0.602,0.0,1
0.65,0.342,0.143,0
0.69,0.567,0.357,1
0.72,0.114,0.0,0
0.8,0.491,0.571,0
0.56,0.528,0.143,0
0.85,0.49,0.428,1
0.91,0.752,0.857,0
0.85,0.622,0.428,1
0.81,0.615,0.286,0
0.68,0.274,0.286,0
0.81,0.833,0.428,0
0.84,0.336,0.143,1
0.77,0.545,0.428,0
0.78,0.35,0.143,0
0.78,0.414,0.357,0
0.82,0.352,0.0,0
0.73,0.458,0.071,0
0.84,0.179,0.286,0
0.66,0.025,0.171,0
0.96,0.881,0.0,0
0.72,0.064,0.071,0
0.7,0.407,0.286,0
0.68,0.296,0.071,0
0.8,0.345,0.286,0
